,year,survey,depth,num_cpue,accepted_name
1,2016,SCS,109.73,4.444444444,Gadus morhua
2,2018,SCS,125.27,2,Gadus morhua
3,2017,SCS,103.33,6,Gadus morhua
4,2019,SCS,215.8,2,Gadus morhua
5,2017,SCS,107.9,6,Gadus morhua
6,2019,SCS,247.8,12,Gadus morhua
7,2016,SCS,80.47,72,Gadus morhua
8,2016,SCS,106.07,24,Gadus morhua
9,2020,SCS,95.1,46,Gadus morhua
10,2020,SCS,118.87,6,Gadus morhua
11,2018,SCS,132.59,2,Gadus morhua
12,2017,SCS,161.85,4,Gadus morhua
13,2019,SCS,286.21,12,Gadus morhua
14,2016,SCS,86.87,82,Gadus morhua
15,2016,SCS,84.12,9.677419355,Gadus morhua
16,2020,SCS,78.64,1.935483871,Gadus morhua
17,2017,SCS,135.33,2,Gadus morhua
18,2019,SCS,274.32,2.222222222,Gadus morhua
19,2016,SCS,98.76,48,Gadus morhua
20,2020,SCS,129.84,4,Gadus morhua
21,2020,SCS,104.24,2.142857143,Gadus morhua
22,2019,SCS,109.73,2,Gadus morhua
23,2019,SCS,110.64,4,Gadus morhua
24,2016,SCS,171.91,4,Gadus morhua
25,2018,SCS,84.12,2,Gadus morhua
26,2016,SCS,147.22,2.5,Gadus morhua
27,2020,SCS,91.44,2,Gadus morhua
28,2018,SCS,79.55,8,Gadus morhua
29,2019,SCS,108.81,24,Gadus morhua
30,2016,SCS,133.5,10,Gadus morhua
31,2017,SCS,87.78,10,Gadus morhua
32,2020,SCS,81.38,2,Gadus morhua
33,2018,SCS,75.9,12,Gadus morhua
34,2019,SCS,78.64,6,Gadus morhua
35,2019,SCS,109.73,30,Gadus morhua
36,2017,SCS,74.98,26,Gadus morhua
37,2018,SCS,74.07,6,Gadus morhua
38,2017,SCS,60.35,6,Gadus morhua
39,2019,SCS,82.3,12,Gadus morhua
40,2017,SCS,62.18,2,Gadus morhua
41,2018,SCS,66.75,38,Gadus morhua
42,2017,SCS,34.75,2,Gadus morhua
43,2019,SCS,80.47,2,Gadus morhua
44,2016,SCS,87.78,6,Gadus morhua
45,2016,SCS,92.35,2,Gadus morhua
46,2017,SCS,72.24,22,Gadus morhua
47,2018,SCS,82.3,140,Gadus morhua
48,2017,SCS,65.84,4,Gadus morhua
49,2019,SCS,84.12,28,Gadus morhua
50,2016,SCS,92.35,2,Gadus morhua
51,2017,SCS,85.95,4,Gadus morhua
52,2019,SCS,78.64,112,Gadus morhua
53,2016,SCS,95.1,2,Gadus morhua
54,2020,SCS,109.73,2,Gadus morhua
55,2018,SCS,93.27,36,Gadus morhua
56,2019,SCS,78.64,4,Gadus morhua
57,2020,SCS,91.44,256,Gadus morhua
58,2018,SCS,124.36,18,Gadus morhua
59,2019,SCS,83.21,24,Gadus morhua
60,2020,SCS,228.6,2.307692308,Gadus morhua
61,2018,SCS,63.09,76,Gadus morhua
