month,year,survey,depth,num_cpue,accepted_name,latitude,longitude
3,2016,SCS,109.73,4.444444444,Gadus morhua,42.264167,-65.581667
3,2018,SCS,125.27,2,Gadus morhua,41.792,-65.8735
3,2017,SCS,103.33,6,Gadus morhua,44.267,-63.725667
2,2019,SCS,215.8,2,Gadus morhua,42.248833,-66.242167
3,2017,SCS,107.9,6,Gadus morhua,41.901667,-65.926667
2,2019,SCS,247.8,12,Gadus morhua,42.241833,-66.606333
2,2016,SCS,80.47,72,Gadus morhua,41.991167,-66.224167
3,2016,SCS,106.07,24,Gadus morhua,42.753667,-64.899
3,2020,SCS,95.1,46,Gadus morhua,41.958833,-66.088833
3,2020,SCS,118.87,6,Gadus morhua,43.050833,-65.365167
3,2018,SCS,132.59,2,Gadus morhua,41.456833,-66.054
3,2017,SCS,161.85,4,Gadus morhua,42.113667,-68.7895
2,2019,SCS,286.21,12,Gadus morhua,42.287,-66.770333
2,2016,SCS,86.87,82,Gadus morhua,41.981333,-66.176
3,2016,SCS,84.12,9.677419355,Gadus morhua,43.255333,-64.181333
3,2020,SCS,78.64,1.935483871,Gadus morhua,41.835333,-66.185
3,2017,SCS,135.33,2,Gadus morhua,42.107167,-68.9455
2,2019,SCS,274.32,2.222222222,Gadus morhua,42.304167,-66.992333
2,2016,SCS,98.76,48,Gadus morhua,41.959667,-66.038333
3,2020,SCS,129.84,4,Gadus morhua,41.779333,-65.834
3,2020,SCS,104.24,2.142857143,Gadus morhua,42.8105,-64.941833
2,2019,SCS,109.73,2,Gadus morhua,42.173167,-66.965333
3,2019,SCS,110.64,4,Gadus morhua,42.413667,-65.338667
2,2016,SCS,171.91,4,Gadus morhua,41.996667,-65.889833
3,2018,SCS,84.12,2,Gadus morhua,41.730667,-66.315167
3,2016,SCS,147.22,2.5,Gadus morhua,44.159833,-63.429833
3,2020,SCS,91.44,2,Gadus morhua,42.887667,-64.756167
3,2018,SCS,79.55,8,Gadus morhua,41.823167,-66.336833
3,2019,SCS,108.81,24,Gadus morhua,42.721667,-64.860833
2,2016,SCS,133.5,10,Gadus morhua,41.887833,-65.809
3,2017,SCS,87.78,10,Gadus morhua,41.557833,-66.4745
3,2020,SCS,81.38,2,Gadus morhua,42.956667,-64.783667
3,2018,SCS,75.9,12,Gadus morhua,41.896667,-66.509333
2,2019,SCS,78.64,6,Gadus morhua,42.119833,-66.670167
3,2019,SCS,109.73,30,Gadus morhua,42.767,-64.658167
3,2017,SCS,74.98,26,Gadus morhua,41.609333,-66.585333
3,2018,SCS,74.07,6,Gadus morhua,41.9755,-66.6365
3,2017,SCS,60.35,6,Gadus morhua,40.945333,-69.216
2,2019,SCS,82.3,12,Gadus morhua,42.117,-66.5525
3,2017,SCS,62.18,2,Gadus morhua,41.643333,-66.93
3,2018,SCS,66.75,38,Gadus morhua,42.0045,-66.840167
3,2017,SCS,34.75,2,Gadus morhua,40.801333,-69.866
2,2019,SCS,80.47,2,Gadus morhua,42.045,-66.497833
2,2016,SCS,87.78,6,Gadus morhua,41.742833,-66.229
3,2016,SCS,92.35,2,Gadus morhua,43.2485,-64.004
3,2017,SCS,72.24,22,Gadus morhua,41.571667,-66.786667
3,2018,SCS,82.3,140,Gadus morhua,42.146,-66.9475
3,2017,SCS,65.84,4,Gadus morhua,40.543,-69.759333
2,2019,SCS,84.12,28,Gadus morhua,42.065333,-66.453
3,2016,SCS,92.35,2,Gadus morhua,43.157833,-63.993167
3,2017,SCS,85.95,4,Gadus morhua,41.458333,-66.596667
2,2019,SCS,78.64,112,Gadus morhua,41.951167,-66.459333
3,2016,SCS,95.1,2,Gadus morhua,43.0755,-63.986833
3,2020,SCS,109.73,2,Gadus morhua,41.370667,-66.252333
3,2018,SCS,93.27,36,Gadus morhua,42.071167,-67.120167
2,2019,SCS,78.64,4,Gadus morhua,41.862333,-66.310833
3,2020,SCS,91.44,256,Gadus morhua,41.390667,-66.4205
3,2018,SCS,124.36,18,Gadus morhua,42.173333,-67.138667
2,2019,SCS,83.21,24,Gadus morhua,41.867167,-66.192167
3,2020,SCS,228.6,2.307692308,Gadus morhua,42.671833,-67.326
3,2018,SCS,63.09,76,Gadus morhua,42.111833,-67.256167
2,2019,SCS,89.61,6,Gadus morhua,41.906333,-66.137333
2,2019,SCS,80.47,6,Gadus morhua,41.9865,-66.277333
3,2018,SCS,132.59,6,Gadus morhua,41.980333,-67.8805
2,2019,SCS,94.18,6,Gadus morhua,41.939333,-66.035167
3,2018,SCS,60.35,2,Gadus morhua,41.839333,-68.015
2,2016,SCS,69.49,2,Gadus morhua,41.376667,-66.918
3,2016,SCS,96.01,6,Gadus morhua,42.918333,-64.556833
3,2018,SCS,49.38,8,Gadus morhua,41.737333,-67.139333
2,2016,SCS,91.44,2,Gadus morhua,41.445333,-66.537833
3,2016,SCS,91.44,2,Gadus morhua,42.951667,-64.633833
3,2018,SCS,52.12,6,Gadus morhua,41.696,-67.244667
2,2016,SCS,91.44,14,Gadus morhua,41.486,-66.410333
3,2016,SCS,88.7,2,Gadus morhua,42.9305,-64.786667
3,2018,SCS,48.46,2,Gadus morhua,41.433833,-67.159667
3,2019,SCS,89.61,8.571428571,Gadus morhua,43.357667,-64.584167
3,2017,SCS,45.72,2,Gadus morhua,41.722333,-67.471667
2,2019,SCS,91.44,2,Gadus morhua,41.584833,-66.177667
3,2020,SCS,120.7,2,Gadus morhua,43.536,-66.718167
2,2016,SCS,76.81,2,Gadus morhua,41.6075,-66.530333
3,2017,SCS,36.58,2.068965517,Gadus morhua,41.797333,-68.026833
3,2018,SCS,55.78,8,Gadus morhua,41.084,-67.576
3,2019,SCS,86.87,2.4,Gadus morhua,43.031833,-64.719333
2,2016,SCS,60.35,6,Gadus morhua,41.603333,-66.961
3,2016,SCS,91.44,2.4,Gadus morhua,42.484167,-65.746333
3,2017,SCS,63.09,8,Gadus morhua,41.902167,-67.912667
3,2020,SCS,133.5,1.935483871,Gadus morhua,44.198833,-67.181333
3,2018,SCS,54.86,2,Gadus morhua,41.140167,-67.347
2,2016,SCS,63.09,12,Gadus morhua,41.638,-66.932
3,2016,SCS,122.53,6.666666667,Gadus morhua,42.439333,-65.813833
3,2017,SCS,103.33,12,Gadus morhua,41.907,-67.996667
3,2020,SCS,82.3,9.677419355,Gadus morhua,41.93,-66.242667
3,2018,SCS,56.69,2,Gadus morhua,41.17,-67.1955
2,2016,SCS,60.35,3,Gadus morhua,41.786333,-66.786333
3,2016,SCS,105.16,14,Gadus morhua,42.513333,-65.856
3,2020,SCS,82.3,10,Gadus morhua,41.946167,-66.4215
3,2020,SCS,177.39,7.2,Gadus morhua,44.659667,-66.383667
3,2018,SCS,61.26,4,Gadus morhua,41.209333,-67.126667
3,2019,SCS,93.27,4,Gadus morhua,42.6465,-65.294
2,2016,SCS,71.32,10,Gadus morhua,41.863167,-66.659
3,2016,SCS,105.16,5.217391304,Gadus morhua,42.8465,-65.800667
3,2017,SCS,56.69,518,Gadus morhua,41.97,-67.323333
3,2020,SCS,82.3,20,Gadus morhua,42.034667,-66.286833
3,2019,SCS,96.01,6,Gadus morhua,42.691667,-65.387667
2,2016,SCS,76.81,16,Gadus morhua,41.827,-66.498333
3,2017,SCS,226.77,18,Gadus morhua,42.250667,-67.091667
3,2020,SCS,124.36,34,Gadus morhua,42.114,-66.208833
3,2018,SCS,79.55,2,Gadus morhua,41.226333,-66.657667
2,2016,SCS,81.38,53.79310345,Gadus morhua,41.877667,-66.396833
3,2017,SCS,67.67,64,Gadus morhua,42.142333,-67.001167
3,2019,SCS,91.44,2,Gadus morhua,42.415667,-65.616333
2,2016,SCS,80.47,18,Gadus morhua,41.975,-66.4005
3,2017,SCS,72.24,48,Gadus morhua,42.051667,-66.795
3,2020,SCS,72.24,662.0689655,Gadus morhua,41.993,-66.678833
3,2020,SCS,104.24,4,Gadus morhua,44.909833,-66.026
3,2019,SCS,214.88,2,Gadus morhua,42.272833,-65.754833
2,2016,SCS,77.72,24,Gadus morhua,41.951167,-66.583833
3,2017,SCS,71.32,68,Gadus morhua,42.07,-66.721667
3,2020,SCS,67.67,212,Gadus morhua,41.949333,-66.623
3,2020,SCS,107.9,2,Gadus morhua,44.851833,-65.866333
3,2018,SCS,85.04,8,Gadus morhua,41.423,-66.5425
2,2019,SCS,63.09,4.137931034,Gadus morhua,41.178667,-67.100333
3,2019,SCS,110.64,2,Gadus morhua,42.482333,-65.858667
2,2016,SCS,67.67,32.14285714,Gadus morhua,41.951333,-66.711167
3,2016,SCS,154.53,5.217391304,Gadus morhua,42.73,-66.551833
3,2017,SCS,56.69,15.65217391,Gadus morhua,42.026667,-66.841667
3,2018,SCS,69.49,6,Gadus morhua,41.5015,-66.825833
2,2019,SCS,43.89,2.4,Gadus morhua,41.3165,-67.2945
2,2016,SCS,68.58,58,Gadus morhua,41.958833,-66.781
3,2016,SCS,192.94,2.857142857,Gadus morhua,42.579167,-66.364167
3,2017,SCS,60.35,2,Gadus morhua,41.888333,-66.813333
3,2020,SCS,82.3,33.6,Gadus morhua,41.830167,-66.421
3,2020,SCS,89.61,3,Gadus morhua,44.462667,-66.188
3,2018,SCS,72.24,6,Gadus morhua,41.563,-66.691167
3,2019,SCS,66.75,1.935483871,Gadus morhua,42.613,-66.2375
2,2016,SCS,65.84,6,Gadus morhua,41.907667,-66.918667
3,2017,SCS,71.32,3,Gadus morhua,41.859833,-66.637167
3,2020,SCS,76.81,54,Gadus morhua,41.839333,-66.5105
3,2018,SCS,79.55,4,Gadus morhua,41.553333,-66.594333
2,2019,SCS,60.35,2,Gadus morhua,41.6725,-67.041167
2,2016,SCS,53.95,30,Gadus morhua,41.998167,-67.210167
3,2017,SCS,69.49,20,Gadus morhua,41.7525,-66.587667
3,2020,SCS,71.32,2.142857143,Gadus morhua,41.756833,-66.587667
3,2018,SCS,87.78,4,Gadus morhua,41.506833,-66.523667
2,2019,SCS,64.01,2,Gadus morhua,41.729333,-66.8975
3,2019,SCS,175.56,6,Gadus morhua,42.620333,-66.472833
3,2017,SCS,71.32,6,Gadus morhua,41.7725,-66.547833
3,2020,SCS,62.18,2.222222222,Gadus morhua,41.756167,-66.884667
3,2020,SCS,89.61,2,Gadus morhua,42.699667,-65.916167
3,2018,SCS,87.78,2,Gadus morhua,41.554167,-66.382833
3,2019,SCS,174.65,2,Gadus morhua,42.718167,-66.902833
2,2016,SCS,73.15,0,Gadus morhua,42.0365,-67.620333
3,2020,SCS,64.92,6,Gadus morhua,41.822167,-66.800333
3,2020,SCS,89.61,2,Gadus morhua,42.537333,-65.6785
2,2019,SCS,49.38,30,Gadus morhua,41.982833,-67.675833
3,2019,SCS,187.45,2,Gadus morhua,42.6505,-66.785833
3,2020,SCS,64.01,4,Gadus morhua,41.900333,-66.890167
3,2020,SCS,104.24,4,Gadus morhua,42.352833,-65.498
3,2018,SCS,64.01,2,Gadus morhua,41.717,-66.731167
3,2017,SCS,78.64,144.8275862,Gadus morhua,41.781667,-66.366667
3,2020,SCS,57.61,24,Gadus morhua,41.937167,-67.070167
3,2020,SCS,117.04,4,Gadus morhua,42.499333,-64.945333
3,2018,SCS,71.32,2,Gadus morhua,41.761167,-66.530833
3,2017,SCS,89.61,189,Gadus morhua,41.906,-66.180667
3,2020,SCS,128.02,2,Gadus morhua,42.6985,-64.426
3,2018,SCS,66.75,2,Gadus morhua,41.816333,-66.710167
3,2019,SCS,198.42,2,Gadus morhua,42.740333,-67.502833
3,2017,SCS,93.27,22,Gadus morhua,42.062333,-66.117
3,2020,SCS,73.15,2,Gadus morhua,42.133833,-67.070333
3,2018,SCS,72.24,12,Gadus morhua,41.849167,-66.561667
2,2019,SCS,65.84,46,Gadus morhua,41.840167,-66.635
3,2017,SCS,203,24,Gadus morhua,42.198167,-66.257333
3,2020,SCS,257.86,12,Gadus morhua,42.268667,-66.529
3,2020,SCS,95.1,2,Gadus morhua,43.223333,-63.932667
3,2018,SCS,56.69,4,Gadus morhua,41.868333,-66.787333
2,2019,SCS,69.49,26,Gadus morhua,41.864833,-66.555167
3,2017,SCS,87.78,4,Gadus morhua,42.07,-66.241667
3,2020,SCS,214.88,6,Gadus morhua,42.2005,-66.545
3,2018,SCS,67.67,6,Gadus morhua,41.9275,-66.767833
2,2019,SCS,80.47,1024,Gadus morhua,41.971167,-66.4475
3,2019,SCS,228.6,2,Gadus morhua,42.935,-67.090167
